Date,Exchange Rate
01-03-2019,0.879
04-03-2019,0.8828
05-03-2019,0.885
06-03-2019,0.8834
07-03-2019,0.8917
08-03-2019,0.8894
11-03-2019,0.8908
12-03-2019,0.8868
13-03-2019,0.8842
14-03-2019,0.8846
15-03-2019,0.8829
18-03-2019,0.8821
19-03-2019,0.8814
20-03-2019,0.8809
21-03-2019,0.8802
22-03-2019,0.8864
25-03-2019,0.8831
26-03-2019,0.8865
27-03-2019,0.8889
28-03-2019,0.89
29-03-2019,0.8906
01-04-2019,0.8921
02-04-2019,0.894
03-04-2019,0.8895
04-04-2019,0.8916
05-04-2019,0.8915
08-04-2019,0.8879
09-04-2019,0.8867
10-04-2019,0.8876
11-04-2019,0.8879
12-04-2019,0.8846
15-04-2019,0.8846
16-04-2019,0.8855
17-04-2019,0.8852
18-04-2019,0.8896
19-04-2019,0.8892
22-04-2019,0.8883
23-04-2019,0.8918
24-04-2019,0.8935
25-04-2019,0.8977
26-04-2019,0.8965
29-04-2019,0.8956
30-04-2019,0.8928
